random_obs,random_exp,random_nor
47916,459.715,2380.53
19632,158.539,2956.25
57574,448.25,2832.44
7074,60.7897,3029.22
33009,246.588,3311.8
37730,401.824,2012.78
46652,539.585,2065.82
23483,181.574,3184.97
30241,293.153,1731.64
29160,204.352,3085.25
20843,169.659,3002.69
32275,284.355,2863.56
40143,440.901,1874.13
27013,229.943,2973.59
39402,300.619,2886.8
29401,261.457,2299.54
28835,307.679,2491.53
33181,499.194,1471.88
22102,186.368,2977.62
38696,433.123,2057.61
36294,334.459,2445.92
49505,570.123,2023.04
19628,206.897,2286.14
45964,494.914,2033.79
42358,358.578,2619.53
23748,201.791,3037.01
28632,276.176,1640.8
66352,573.197,2576.99
38715,421.663,1824.07
53008,430.249,2482.19
40872,470.074,1885.46
35382,412.106,2125.58
12501,108.525,2820.23
23015,235.578,2521.54
23340,218.761,2569.43
29332,334.945,1872.09
27013,229.943,2973.59
25836,230.468,2755.03
17010,137.989,3077.48
36032,303.414,2732.66
31681,272.405,2507.45
34150,360.738,2095.12
26392,213.107,2793.53
28835,307.679,2491.53
36681,418.086,2001.12
13992,150.093,1492.31
39268,336.007,2677.92
23009,176.635,3055.54
23015,235.578,2521.54
41559,511.017,1824.33
31315,249.599,2886.38
32011,290.299,2699.07
35144,361.11,2044.72
37436,342.718,2712.16
23603,220.445,2966.83
24606,185.145,3147.58
4595,22.5998,5317.07
44985,524.805,1867.64
41362,481.338,1890.34
49320,424.253,2593.17
22303,239.904,2264.32
46975,531.676,2017.89
39239,388.072,2332.7
53471,388.207,3098.99
24602,223.087,2616.19
33894,328.579,2641.61
20481,174.094,2933.58
41732,421.75,2280.8
36638,471.195,1627.3
33337,279.73,2498.29
36811,451.736,1774.58
56788,532.484,2195.98
25882,230.978,2608.87
56023,458.094,2819.74
38910,488.319,1757.15
46402,330.265,3067.99
16739,167.766,2733.49
30553,378.182,1718.93
28729,359.654,1818.84
39085,401.41,2258.13
53919,403.798,2748.85
37364,348.269,2596
7074,60.7897,3029.22
27064,225.184,2985.69
23967,225.338,2578.53
37334,387.851,1786.01
39458,394.07,1914.31
39627,423.245,2215.81
21571,241.798,2458.81
47297,392.637,2488.7
19312,183.15,2747.45
28096,369.228,1886.67
25823,214.237,3120.41
40605,396.043,2258.8
15181,144.795,2878.79
19535,174.454,3364.87
45196,488.778,2130.93
21634,196.659,2787.41
28475,292.867,2014.38
50709,332.294,3302.83
10041,45.7304,5190.9
